# t x1 v1 x2 v2 E_kin E_pot E_tot
0.00000 0.10000 0.00000 -0.10000 0.00000 0.00000 0.02000 0.02000
0.01000 0.09999 -0.00200 -0.09999 0.00200 0.00000 0.02000 0.02000
0.02000 0.09996 -0.00400 -0.09996 0.00400 0.00002 0.01998 0.02000
0.03000 0.09991 -0.00600 -0.09991 0.00600 0.00004 0.01996 0.02000
0.04000 0.09984 -0.00800 -0.09984 0.00800 0.00006 0.01994 0.02000
0.05000 0.09975 -0.00999 -0.09975 0.00999 0.00010 0.01990 0.02000
0.06000 0.09964 -0.01199 -0.09964 0.01199 0.00014 0.01986 0.02000
0.07000 0.09951 -0.01398 -0.09951 0.01398 0.00020 0.01980 0.02000
0.08000 0.09936 -0.01597 -0.09936 0.01597 0.00025 0.01975 0.02000
0.09000 0.09919 -0.01795 -0.09919 0.01795 0.00032 0.01968 0.02000
0.10000 0.09900 -0.01993 -0.09900 0.01993 0.00040 0.01960 0.02000
0.11000 0.09879 -0.02191 -0.09879 0.02191 0.00048 0.01952 0.02000
0.12000 0.09856 -0.02388 -0.09856 0.02388 0.00057 0.01943 0.02000
0.13000 0.09831 -0.02585 -0.09831 0.02585 0.00067 0.01933 0.02000
0.14000 0.09805 -0.02782 -0.09805 0.02782 0.00077 0.01923 0.02000
0.15000 0.09776 -0.02978 -0.09776 0.02978 0.00089 0.01911 0.02000
0.16000 0.09745 -0.03173 -0.09745 0.03173 0.00101 0.01899 0.02000
0.17000 0.09712 -0.03367 -0.09712 0.03367 0.00113 0.01887 0.02000
0.18000 0.09678 -0.03561 -0.09678 0.03561 0.00127 0.01873 0.02000
0.19000 0.09641 -0.03754 -0.09641 0.03754 0.00141 0.01859 0.02000
0.20000 0.09603 -0.03947 -0.09603 0.03947 0.00156 0.01844 0.02000
0.21000 0.09562 -0.04139 -0.09562 0.04139 0.00171 0.01829 0.02000
0.22000 0.09520 -0.04329 -0.09520 0.04329 0.00187 0.01813 0.02000
0.23000 0.09476 -0.04519 -0.09476 0.04519 0.00204 0.01796 0.02000
0.24000 0.09430 -0.04708 -0.09430 0.04708 0.00222 0.01778 0.02000
0.25000 0.09381 -0.04896 -0.09381 0.04896 0.00240 0.01760 0.02000
0.26000 0.09332 -0.05084 -0.09332 0.05084 0.00258 0.01742 0.02000
0.27000 0.09280 -0.05270 -0.09280 0.05270 0.00278 0.01722 0.02000
0.28000 0.09226 -0.05455 -0.09226 0.05455 0.00298 0.01702 0.02000
0.29000 0.09171 -0.05639 -0.09171 0.05639 0.00318 0.01682 0.02000
0.30000 0.09113 -0.05822 -0.09113 0.05822 0.00339 0.01661 0.02000
0.31000 0.09054 -0.06003 -0.09054 0.06003 0.00360 0.01640 0.02000
0.32000 0.08993 -0.06184 -0.08993 0.06184 0.00382 0.01618 0.02000
0.33000 0.08931 -0.06363 -0.08931 0.06363 0.00405 0.01595 0.02000
0.34000 0.08866 -0.06541 -0.08866 0.06541 0.00428 0.01572 0.02000
0.35000 0.08800 -0.06718 -0.08800 0.06718 0.00451 0.01549 0.02000
0.36000 0.08732 -0.06893 -0.08732 0.06893 0.00475 0.01525 0.02000
0.37000 0.08662 -0.07067 -0.08662 0.07067 0.00499 0.01501 0.02000
0.38000 0.08590 -0.07239 -0.08590 0.07239 0.00524 0.01476 0.02000
0.39000 0.08517 -0.07411 -0.08517 0.07411 0.00549 0.01451 0.02000
0.40000 0.08442 -0.07580 -0.08442 0.07580 0.00575 0.01425 0.02000
0.41000 0.08366 -0.07748 -0.08366 0.07748 0.00600 0.01400 0.02000
0.42000 0.08287 -0.07915 -0.08287 0.07915 0.00626 0.01374 0.02000
0.43000 0.08207 -0.08080 -0.08207 0.08080 0.00653 0.01347 0.02000
0.44000 0.08126 -0.08243 -0.08126 0.08243 0.00679 0.01321 0.02000
0.45000 0.08042 -0.08405 -0.08042 0.08405 0.00706 0.01294 0.02000
0.46000 0.07958 -0.08565 -0.07958 0.08565 0.00734 0.01266 0.02000
0.47000 0.07871 -0.08723 -0.07871 0.08723 0.00761 0.01239 0.02000
0.48000 0.07783 -0.08880 -0.07783 0.08880 0.00788 0.01212 0.02000
0.49000 0.07694 -0.09034 -0.07694 0.09034 0.00816 0.01184 0.02000
0.50000 0.07602 -0.09187 -0.07602 0.09187 0.00844 0.01156 0.02000
0.51000 0.07510 -0.09338 -0.07510 0.09338 0.00872 0.01128 0.02000
0.52000 0.07416 -0.09488 -0.07416 0.09488 0.00900 0.01100 0.02000
0.53000 0.07320 -0.09635 -0.07320 0.09635 0.00928 0.01072 0.02000
0.54000 0.07223 -0.09780 -0.07223 0.09780 0.00957 0.01043 0.02000
0.55000 0.07124 -0.09924 -0.07124 0.09924 0.00985 0.01015 0.02000
0.56000 0.07025 -0.10065 -0.07025 0.10065 0.01013 0.00987 0.02000
0.57000 0.06923 -0.10205 -0.06923 0.10205 0.01041 0.00959 0.02000
0.58000 0.06820 -0.10342 -0.06820 0.10342 0.01070 0.00930 0.02000
0.59000 0.06716 -0.10478 -0.06716 0.10478 0.01098 0.00902 0.02000
0.60000 0.06611 -0.10611 -0.06611 0.10611 0.01126 0.00874 0.02000
0.61000 0.06504 -0.10742 -0.06504 0.10742 0.01154 0.00846 0.02000
0.62000 0.06396 -0.10871 -0.06396 0.10871 0.01182 0.00818 0.02000
0.63000 0.06287 -0.10998 -0.06287 0.10998 0.01210 0.00790 0.02000
0.64000 0.06176 -0.11123 -0.06176 0.11123 0.01237 0.00763 0.02000
0.65000 0.06064 -0.11245 -0.06064 0.11245 0.01264 0.00736 0.02000
0.66000 0.05951 -0.11365 -0.05951 0.11365 0.01292 0.00708 0.02000
0.67000 0.05837 -0.11483 -0.05837 0.11483 0.01319 0.00681 0.02000
0.68000 0.05722 -0.11599 -0.05722 0.11599 0.01345 0.00655 0.02000
0.69000 0.05605 -0.11712 -0.05605 0.11712 0.01372 0.00628 0.02000
0.70000 0.05487 -0.11823 -0.05487 0.11823 0.01398 0.00602 0.02000
0.71000 0.05369 -0.11931 -0.05369 0.11931 0.01424 0.00576 0.02000
0.72000 0.05249 -0.12038 -0.05249 0.12038 0.01449 0.00551 0.02000
0.73000 0.05128 -0.12141 -0.05128 0.12141 0.01474 0.00526 0.02000
0.74000 0.05006 -0.12243 -0.05006 0.12243 0.01499 0.00501 0.02000
0.75000 0.04883 -0.12342 -0.04883 0.12342 0.01523 0.00477 0.02000
0.76000 0.04759 -0.12438 -0.04759 0.12438 0.01547 0.00453 0.02000
0.77000 0.04634 -0.12532 -0.04634 0.12532 0.01570 0.00430 0.02000
0.78000 0.04508 -0.12623 -0.04508 0.12623 0.01593 0.00407 0.02000
0.79000 0.04382 -0.12712 -0.04382 0.12712 0.01616 0.00384 0.02000
0.80000 0.04254 -0.12799 -0.04254 0.12799 0.01638 0.00362 0.02000
0.81000 0.04126 -0.12882 -0.04126 0.12882 0.01660 0.00340 0.02000
0.82000 0.03997 -0.12964 -0.03997 0.12964 0.01681 0.00319 0.02000
0.83000 0.03867 -0.13042 -0.03867 0.13042 0.01701 0.00299 0.02000
0.84000 0.03736 -0.13118 -0.03736 0.13118 0.01721 0.00279 0.02000
0.85000 0.03604 -0.13192 -0.03604 0.13192 0.01740 0.00260 0.02000
0.86000 0.03472 -0.13262 -0.03472 0.13262 0.01759 0.00241 0.02000
0.87000 0.03339 -0.13331 -0.03339 0.13331 0.01777 0.00223 0.02000
0.88000 0.03205 -0.13396 -0.03205 0.13396 0.01795 0.00205 0.02000
0.89000 0.03071 -0.13459 -0.03071 0.13459 0.01811 0.00189 0.02000
0.90000 0.02936 -0.13519 -0.02936 0.13519 0.01828 0.00172 0.02000
0.91000 0.02801 -0.13576 -0.02801 0.13576 0.01843 0.00157 0.02000
0.92000 0.02665 -0.13631 -0.02665 0.13631 0.01858 0.00142 0.02000
0.93000 0.02528 -0.13683 -0.02528 0.13683 0.01872 0.00128 0.02000
0.94000 0.02391 -0.13732 -0.02391 0.13732 0.01886 0.00114 0.02000
0.95000 0.02253 -0.13778 -0.02253 0.13778 0.01898 0.00102 0.02000
0.96000 0.02115 -0.13822 -0.02115 0.13822 0.01911 0.00089 0.02000
0.97000 0.01977 -0.13863 -0.01977 0.13863 0.01922 0.00078 0.02000
0.98000 0.01838 -0.13901 -0.01838 0.13901 0.01932 0.00068 0.02000
0.99000 0.01699 -0.13937 -0.01699 0.13937 0.01942 0.00058 0.02000
1.00000 0.01559 -0.13969 -0.01559 0.13969 0.01951 0.00049 0.02000
1.01000 0.01420 -0.13999 -0.01420 0.13999 0.01960 0.00040 0.02000
1.02000 0.01279 -0.14026 -0.01279 0.14026 0.01967 0.00033 0.02000
1.03000 0.01139 -0.14050 -0.01139 0.14050 0.01974 0.00026 0.02000
1.04000 0.00998 -0.14071 -0.00998 0.14071 0.01980 0.00020 0.02000
1.05000 0.00858 -0.14090 -0.00858 0.14090 0.01985 0.00015 0.02000
1.06000 0.00717 -0.14106 -0.00717 0.14106 0.01990 0.00010 0.02000
1.07000 0.00576 -0.14119 -0.00576 0.14119 0.01993 0.00007 0.02000
1.08000 0.00434 -0.14129 -0.00434 0.14129 0.01996 0.00004 0.02000
1.09000 0.00293 -0.14136 -0.00293 0.14136 0.01998 0.00002 0.02000
1.10000 0.00152 -0.14141 -0.00152 0.14141 0.02000 0.00000 0.02000
1.11000 0.00010 -0.14142 -0.00010 0.14142 0.02000 0.00000 0.02000
1.12000 -0.00131 -0.14141 0.00131 0.14141 0.02000 0.00000 0.02000
1.13000 -0.00273 -0.14137 0.00273 0.14137 0.01999 0.00001 0.02000
1.14000 -0.00414 -0.14130 0.00414 0.14130 0.01997 0.00003 0.02000
1.15000 -0.00555 -0.14120 0.00555 0.14120 0.01994 0.00006 0.02000
1.16000 -0.00696 -0.14108 0.00696 0.14108 0.01990 0.00010 0.02000
1.17000 -0.00837 -0.14092 0.00837 0.14092 0.01986 0.00014 0.02000
1.18000 -0.00978 -0.14074 0.00978 0.14074 0.01981 0.00019 0.02000
1.19000 -0.01119 -0.14053 0.01119 0.14053 0.01975 0.00025 0.02000
1.20000 -0.01259 -0.14030 0.01259 0.14030 0.01968 0.00032 0.02000
1.21000 -0.01399 -0.14003 0.01399 0.14003 0.01961 0.00039 0.02000
1.22000 -0.01539 -0.13974 0.01539 0.13974 0.01953 0.00047 0.02000
1.23000 -0.01679 -0.13941 0.01679 0.13941 0.01944 0.00056 0.02000
1.24000 -0.01818 -0.13906 0.01818 0.13906 0.01934 0.00066 0.02000
1.25000 -0.01957 -0.13869 0.01957 0.13869 0.01923 0.00077 0.02000
1.26000 -0.02095 -0.13828 0.02095 0.13828 0.01912 0.00088 0.02000
1.27000 -0.02234 -0.13785 0.02234 0.13785 0.01900 0.00100 0.02000
1.28000 -0.02371 -0.13739 0.02371 0.13739 0.01888 0.00112 0.02000
1.29000 -0.02508 -0.13690 0.02508 0.13690 0.01874 0.00126 0.02000
1.30000 -0.02645 -0.13638 0.02645 0.13638 0.01860 0.00140 0.02000
1.31000 -0.02781 -0.13584 0.02781 0.13584 0.01845 0.00155 0.02000
1.32000 -0.02917 -0.13527 0.02917 0.13527 0.01830 0.00170 0.02000
1.33000 -0.03052 -0.13468 0.03052 0.13468 0.01814 0.00186 0.02000
