# t x1 v1 x2 v2 E_kin E_pot E_tot
0.00000 0.00000 1.00000 0.00000 0.00000 0.50000 0.00000 0.50000
0.01000 0.01000 0.99985 0.00000 0.00010 0.49985 0.00015 0.50000
0.02000 0.02000 0.99940 0.00000 0.00040 0.49940 0.00060 0.50000
0.03000 0.02999 0.99865 0.00001 0.00090 0.49865 0.00135 0.50000
0.04000 0.03997 0.99760 0.00002 0.00160 0.49761 0.00239 0.50000
0.05000 0.04994 0.99625 0.00004 0.00250 0.49626 0.00374 0.50000
0.06000 0.05989 0.99461 0.00007 0.00359 0.49463 0.00537 0.50000
0.07000 0.06983 0.99266 0.00011 0.00489 0.49270 0.00730 0.50000
0.08000 0.07974 0.99042 0.00017 0.00638 0.49049 0.00951 0.50000
0.09000 0.08964 0.98789 0.00024 0.00807 0.48799 0.01201 0.50000
0.10000 0.09950 0.98505 0.00033 0.00995 0.48522 0.01478 0.50000
0.11000 0.10934 0.98193 0.00044 0.01203 0.48216 0.01784 0.50000
0.12000 0.11914 0.97851 0.00057 0.01430 0.47885 0.02115 0.50000
0.13000 0.12891 0.97480 0.00073 0.01676 0.47526 0.02474 0.50000
0.14000 0.13863 0.97081 0.00091 0.01941 0.47142 0.02858 0.50000
0.15000 0.14832 0.96652 0.00112 0.02225 0.46733 0.03267 0.50000
0.16000 0.15796 0.96195 0.00135 0.02527 0.46300 0.03700 0.50000
0.17000 0.16756 0.95710 0.00162 0.02848 0.45843 0.04157 0.50000
0.18000 0.17710 0.95197 0.00193 0.03188 0.45363 0.04637 0.50000
0.19000 0.18660 0.94655 0.00226 0.03545 0.44861 0.05139 0.50000
0.20000 0.19603 0.94086 0.00263 0.03921 0.44338 0.05662 0.50000
0.21000 0.20541 0.93490 0.00305 0.04313 0.43795 0.06205 0.50000
0.22000 0.21473 0.92866 0.00350 0.04724 0.43232 0.06768 0.50000
0.23000 0.22399 0.92215 0.00399 0.05151 0.42651 0.07349 0.50000
0.24000 0.23317 0.91538 0.00453 0.05596 0.42053 0.07947 0.50000
0.25000 0.24229 0.90834 0.00511 0.06057 0.41438 0.08562 0.50000
0.26000 0.25134 0.90105 0.00574 0.06534 0.40808 0.09192 0.50000
0.27000 0.26031 0.89349 0.00642 0.07028 0.40164 0.09836 0.50000
0.28000 0.26921 0.88569 0.00715 0.07537 0.39506 0.10494 0.50000
0.29000 0.27803 0.87763 0.00793 0.08061 0.38837 0.11163 0.50000
0.30000 0.28676 0.86932 0.00876 0.08601 0.38156 0.11844 0.50000
0.31000 0.29541 0.86078 0.00965 0.09156 0.37466 0.12534 0.50000
0.32000 0.30398 0.85199 0.01059 0.09725 0.36767 0.13233 0.50000
0.33000 0.31245 0.84296 0.01159 0.10308 0.36061 0.13939 0.50000
0.34000 0.32083 0.83370 0.01265 0.10905 0.35348 0.14652 0.50000
0.35000 0.32912 0.82422 0.01377 0.11515 0.34630 0.15370 0.50000
0.36000 0.33732 0.81451 0.01496 0.12139 0.33908 0.16092 0.50000
0.37000 0.34541 0.80458 0.01620 0.12775 0.33183 0.16817 0.50000
0.38000 0.35341 0.79443 0.01751 0.13423 0.32457 0.17543 0.50000
0.39000 0.36130 0.78408 0.01889 0.14083 0.31731 0.18269 0.50000
0.40000 0.36909 0.77351 0.02033 0.14755 0.31005 0.18995 0.50000
0.41000 0.37677 0.76275 0.02184 0.15437 0.30281 0.19719 0.50000
0.42000 0.38434 0.75178 0.02342 0.16131 0.29560 0.20440 0.50000
0.43000 0.39181 0.74062 0.02507 0.16834 0.28843 0.21157 0.50000
0.44000 0.39916 0.72928 0.02678 0.17547 0.28132 0.21868 0.50000
0.45000 0.40639 0.71775 0.02858 0.18270 0.27427 0.22573 0.50000
0.46000 0.41351 0.70604 0.03044 0.19001 0.26730 0.23270 0.50000
0.47000 0.42051 0.69416 0.03238 0.19741 0.26041 0.23959 0.50000
0.48000 0.42739 0.68211 0.03439 0.20489 0.25362 0.24638 0.50000
0.49000 0.43415 0.66989 0.03647 0.21244 0.24694 0.25306 0.50000
0.50000 0.44079 0.65752 0.03864 0.22007 0.24038 0.25962 0.50000
0.51000 0.44730 0.64499 0.04088 0.22775 0.23394 0.26606 0.50000
0.52000 0.45369 0.63232 0.04319 0.23550 0.22764 0.27236 0.50000
0.53000 0.45995 0.61950 0.04559 0.24331 0.22149 0.27851 0.50000
0.54000 0.46608 0.60654 0.04806 0.25116 0.21549 0.28451 0.50000
0.55000 0.47208 0.59346 0.05061 0.25907 0.20965 0.29035 0.50000
0.56000 0.47795 0.58025 0.05324 0.26701 0.20399 0.29601 0.50000
0.57000 0.48368 0.56691 0.05595 0.27499 0.19850 0.30150 0.50000
0.58000 0.48928 0.55346 0.05874 0.28300 0.19321 0.30679 0.50000
0.59000 0.49475 0.53991 0.06161 0.29103 0.18810 0.31190 0.50000
0.60000 0.50008 0.52625 0.06456 0.29909 0.18319 0.31681 0.50000
0.61000 0.50528 0.51249 0.06759 0.30716 0.17850 0.32150 0.50000
0.62000 0.51033 0.49863 0.07070 0.31524 0.17401 0.32599 0.50000
0.63000 0.51525 0.48470 0.07390 0.32333 0.16974 0.33026 0.50000
0.64000 0.52003 0.47068 0.07717 0.33142 0.16569 0.33431 0.50000
0.65000 0.52466 0.45658 0.08052 0.33950 0.16186 0.33814 0.50000
0.66000 0.52916 0.44242 0.08396 0.34757 0.15827 0.34173 0.50000
0.67000 0.53351 0.42819 0.08748 0.35563 0.15491 0.34509 0.50000
0.68000 0.53772 0.41391 0.09107 0.36366 0.15179 0.34821 0.50000
0.69000 0.54179 0.39958 0.09475 0.37167 0.14890 0.35110 0.50000
0.70000 0.54571 0.38520 0.09851 0.37965 0.14625 0.35375 0.50000
0.71000 0.54949 0.37078 0.10234 0.38759 0.14385 0.35615 0.50000
0.72000 0.55313 0.35632 0.10626 0.39548 0.14169 0.35831 0.50000
0.73000 0.55662 0.34184 0.11025 0.40333 0.13977 0.36023 0.50000
0.74000 0.55996 0.32734 0.11432 0.41113 0.13809 0.36191 0.50000
0.75000 0.56317 0.31282 0.11847 0.41887 0.13665 0.36335 0.50000
0.76000 0.56622 0.29829 0.12270 0.42655 0.13546 0.36454 0.50000
0.77000 0.56913 0.28375 0.12700 0.43416 0.13450 0.36550 0.50000
0.78000 0.57190 0.26922 0.13138 0.44169 0.13379 0.36621 0.50000
0.79000 0.57452 0.25470 0.13584 0.44915 0.13330 0.36670 0.50000
0.80000 0.57699 0.24019 0.14037 0.45652 0.13305 0.36695 0.50000
0.81000 0.57932 0.22569 0.14497 0.46380 0.13303 0.36697 0.50000
0.82000 0.58150 0.21123 0.14964 0.47099 0.13323 0.36677 0.50000
0.83000 0.58354 0.19679 0.15439 0.47808 0.13365 0.36635 0.50000
0.84000 0.58544 0.18239 0.15920 0.48507 0.13428 0.36572 0.50000
0.85000 0.58719 0.16804 0.16409 0.49195 0.13512 0.36488 0.50000
0.86000 0.58880 0.15373 0.16904 0.49871 0.13617 0.36383 0.50000
0.87000 0.59027 0.13947 0.17406 0.50536 0.13742 0.36258 0.50000
0.88000 0.59159 0.12527 0.17915 0.51188 0.13886 0.36114 0.50000
