# t x1 v1 x2 v2 E_kin E_pot E_tot
0.00000 0.10000 0.00000 -0.10000 0.00000 0.00000 0.11000 0.11000
0.01000 0.09995 -0.01100 -0.09995 0.01100 0.00012 0.10988 0.11000
0.02000 0.09978 -0.02198 -0.09978 0.02198 0.00048 0.10952 0.11000
0.03000 0.09951 -0.03295 -0.09951 0.03295 0.00109 0.10891 0.11000
0.04000 0.09912 -0.04387 -0.09912 0.04387 0.00192 0.10808 0.11000
0.05000 0.09863 -0.05475 -0.09863 0.05475 0.00300 0.10700 0.11000
0.06000 0.09803 -0.06557 -0.09803 0.06557 0.00430 0.10570 0.11000
0.07000 0.09732 -0.07631 -0.09732 0.07631 0.00582 0.10418 0.11000
0.08000 0.09650 -0.08697 -0.09650 0.08697 0.00756 0.10244 0.11000
0.09000 0.09558 -0.09754 -0.09558 0.09754 0.00951 0.10049 0.11000
0.10000 0.09455 -0.10799 -0.09455 0.10799 0.01166 0.09834 0.11000
0.11000 0.09342 -0.11833 -0.09342 0.11833 0.01400 0.09600 0.11000
0.12000 0.09218 -0.12854 -0.09218 0.12854 0.01652 0.09348 0.11000
0.13000 0.09085 -0.13861 -0.09085 0.13861 0.01921 0.09079 0.11000
0.14000 0.08941 -0.14853 -0.08941 0.14853 0.02206 0.08794 0.11000
0.15000 0.08788 -0.15828 -0.08788 0.15828 0.02505 0.08495 0.11000
0.16000 0.08625 -0.16786 -0.08625 0.16786 0.02818 0.08182 0.11000
0.17000 0.08452 -0.17725 -0.08452 0.17725 0.03142 0.07858 0.11000
0.18000 0.08270 -0.18645 -0.08270 0.18645 0.03476 0.07524 0.11000
0.19000 0.08079 -0.19544 -0.08079 0.19544 0.03820 0.07180 0.11000
0.20000 0.07879 -0.20422 -0.07879 0.20422 0.04170 0.06830 0.11000
0.21000 0.07671 -0.21277 -0.07671 0.21277 0.04527 0.06473 0.11000
0.22000 0.07454 -0.22109 -0.07454 0.22109 0.04888 0.06112 0.11000
0.23000 0.07229 -0.22917 -0.07229 0.22917 0.05252 0.05748 0.11000
0.24000 0.06996 -0.23699 -0.06996 0.23699 0.05617 0.05383 0.11000
0.25000 0.06755 -0.24456 -0.06755 0.24456 0.05981 0.05019 0.11000
0.26000 0.06507 -0.25185 -0.06507 0.25185 0.06343 0.04657 0.11000
0.27000 0.06251 -0.25887 -0.06251 0.25887 0.06701 0.04299 0.11000
0.28000 0.05989 -0.26560 -0.05989 0.26560 0.07054 0.03946 0.11000
0.29000 0.05720 -0.27204 -0.05720 0.27204 0.07401 0.03599 0.11000
0.30000 0.05445 -0.27818 -0.05445 0.27818 0.07739 0.03261 0.11000
0.31000 0.05164 -0.28402 -0.05164 0.28402 0.08067 0.02933 0.11000
0.32000 0.04877 -0.28954 -0.04877 0.28954 0.08383 0.02617 0.11000
0.33000 0.04585 -0.29475 -0.04585 0.29475 0.08688 0.02312 0.11000
0.34000 0.04288 -0.29963 -0.04288 0.29963 0.08978 0.02022 0.11000
0.35000 0.03986 -0.30418 -0.03986 0.30418 0.09252 0.01748 0.11000
0.36000 0.03680 -0.30839 -0.03680 0.30839 0.09511 0.01489 0.11000
0.37000 0.03369 -0.31227 -0.03369 0.31227 0.09751 0.01249 0.11000
0.38000 0.03055 -0.31580 -0.03055 0.31580 0.09973 0.01027 0.11000
0.39000 0.02738 -0.31899 -0.02738 0.31899 0.10176 0.00824 0.11000
0.40000 0.02417 -0.32183 -0.02417 0.32183 0.10357 0.00643 0.11000
0.41000 0.02094 -0.32431 -0.02094 0.32431 0.10518 0.00482 0.11000
0.42000 0.01769 -0.32643 -0.01769 0.32643 0.10656 0.00344 0.11000
0.43000 0.01441 -0.32820 -0.01441 0.32820 0.10771 0.00229 0.11000
0.44000 0.01113 -0.32960 -0.01113 0.32960 0.10864 0.00136 0.11000
0.45000 0.00782 -0.33065 -0.00782 0.33065 0.10933 0.00067 0.11000
0.46000 0.00451 -0.33132 -0.00451 0.33132 0.10978 0.00022 0.11000
0.47000 0.00120 -0.33164 -0.00120 0.33164 0.10998 0.00002 0.11000
0.48000 -0.00212 -0.33159 0.00212 0.33159 0.10995 0.00005 0.11000
0.49000 -0.00543 -0.33117 0.00543 0.33117 0.10968 0.00032 0.11000
0.50000 -0.00874 -0.33039 0.00874 0.33039 0.10916 0.00084 0.11000
0.51000 -0.01204 -0.32925 0.01204 0.32925 0.10841 0.00159 0.11000
0.52000 -0.01532 -0.32775 0.01532 0.32775 0.10742 0.00258 0.11000
0.53000 -0.01859 -0.32588 0.01859 0.32588 0.10620 0.00380 0.11000
0.54000 -0.02184 -0.32366 0.02184 0.32366 0.10475 0.00525 0.11000
0.55000 -0.02506 -0.32108 0.02506 0.32108 0.10309 0.00691 0.11000
0.56000 -0.02826 -0.31814 0.02826 0.31814 0.10121 0.00879 0.11000
0.57000 -0.03143 -0.31486 0.03143 0.31486 0.09914 0.01086 0.11000
0.58000 -0.03456 -0.31123 0.03456 0.31123 0.09686 0.01314 0.11000
0.59000 -0.03765 -0.30726 0.03765 0.30726 0.09441 0.01559 0.11000
0.60000 -0.04070 -0.30295 0.04070 0.30295 0.09178 0.01822 0.11000
0.61000 -0.04371 -0.29831 0.04371 0.29831 0.08899 0.02101 0.11000
0.62000 -0.04667 -0.29333 0.04667 0.29333 0.08605 0.02395 0.11000
0.63000 -0.04957 -0.28804 0.04957 0.28804 0.08297 0.02703 0.11000
0.64000 -0.05243 -0.28243 0.05243 0.28243 0.07977 0.03023 0.11000
0.65000 -0.05522 -0.27651 0.05522 0.27651 0.07646 0.03354 0.11000
0.66000 -0.05795 -0.27028 0.05795 0.27028 0.07305 0.03695 0.11000
0.67000 -0.06063 -0.26376 0.06063 0.26376 0.06957 0.04043 0.11000
0.68000 -0.06323 -0.25695 0.06323 0.25695 0.06602 0.04398 0.11000
0.69000 -0.06576 -0.24985 0.06576 0.24985 0.06243 0.04757 0.11000
0.70000 -0.06823 -0.24248 0.06823 0.24248 0.05880 0.05120 0.11000
0.71000 -0.07061 -0.23485 0.07061 0.23485 0.05515 0.05485 0.11000
0.72000 -0.07292 -0.22695 0.07292 0.22695 0.05151 0.05849 0.11000
0.73000 -0.07515 -0.21881 0.07515 0.21881 0.04788 0.06212 0.11000
0.74000 -0.07730 -0.21042 0.07730 0.21042 0.04428 0.06572 0.11000
0.75000 -0.07936 -0.20180 0.07936 0.20180 0.04073 0.06927 0.11000
0.76000 -0.08133 -0.19297 0.08133 0.19297 0.03724 0.07276 0.11000
0.77000 -0.08322 -0.18392 0.08322 0.18392 0.03382 0.07618 0.11000
0.78000 -0.08501 -0.17466 0.08501 0.17466 0.03051 0.07949 0.11000
0.79000 -0.08671 -0.16522 0.08671 0.16522 0.02730 0.08270 0.11000
0.80000 -0.08831 -0.15559 0.08831 0.15559 0.02421 0.08579 0.11000
0.81000 -0.08982 -0.14579 0.08982 0.14579 0.02125 0.08875 0.11000
0.82000 -0.09123 -0.13583 0.09123 0.13583 0.01845 0.09155 0.11000
0.83000 -0.09254 -0.12572 0.09254 0.12572 0.01581 0.09419 0.11000
0.84000 -0.09374 -0.11548 0.09374 0.11548 0.01334 0.09666 0.11000
0.85000 -0.09485 -0.10510 0.09485 0.10510 0.01105 0.09895 0.11000
0.86000 -0.09584 -0.09462 0.09584 0.09462 0.00895 0.10105 0.11000
0.87000 -0.09674 -0.08402 0.09674 0.08402 0.00706 0.10294 0.11000
0.88000 -0.09752 -0.07334 0.09752 0.07334 0.00538 0.10462 0.11000
0.89000 -0.09820 -0.06257 0.09820 0.06257 0.00392 0.10608 0.11000
0.90000 -0.09878 -0.05174 0.09878 0.05174 0.00268 0.10732 0.11000
0.91000 -0.09924 -0.04084 0.09924 0.04084 0.00167 0.10833 0.11000
0.92000 -0.09959 -0.02991 0.09959 0.02991 0.00089 0.10911 0.11000
