# t x1 v1 x2 v2 E_kin E_pot E_tot
0.00000 0.10000 0.00000 0.10000 0.00000 0.00000 0.01000 0.01000
0.01000 0.10000 -0.00100 0.10000 -0.00100 0.00000 0.01000 0.01000
0.02000 0.09998 -0.00200 0.09998 -0.00200 0.00000 0.01000 0.01000
0.03000 0.09996 -0.00300 0.09996 -0.00300 0.00001 0.00999 0.01000
0.04000 0.09992 -0.00400 0.09992 -0.00400 0.00002 0.00998 0.01000
0.05000 0.09988 -0.00500 0.09988 -0.00500 0.00002 0.00998 0.01000
0.06000 0.09982 -0.00600 0.09982 -0.00600 0.00004 0.00996 0.01000
0.07000 0.09976 -0.00699 0.09976 -0.00699 0.00005 0.00995 0.01000
0.08000 0.09968 -0.00799 0.09968 -0.00799 0.00006 0.00994 0.01000
0.09000 0.09960 -0.00899 0.09960 -0.00899 0.00008 0.00992 0.01000
0.10000 0.09950 -0.00998 0.09950 -0.00998 0.00010 0.00990 0.01000
0.11000 0.09940 -0.01098 0.09940 -0.01098 0.00012 0.00988 0.01000
0.12000 0.09928 -0.01197 0.09928 -0.01197 0.00014 0.00986 0.01000
0.13000 0.09916 -0.01296 0.09916 -0.01296 0.00017 0.00983 0.01000
0.14000 0.09902 -0.01395 0.09902 -0.01395 0.00019 0.00981 0.01000
0.15000 0.09888 -0.01494 0.09888 -0.01494 0.00022 0.00978 0.01000
0.16000 0.09872 -0.01593 0.09872 -0.01593 0.00025 0.00975 0.01000
0.17000 0.09856 -0.01692 0.09856 -0.01692 0.00029 0.00971 0.01000
0.18000 0.09838 -0.01790 0.09838 -0.01790 0.00032 0.00968 0.01000
0.19000 0.09820 -0.01889 0.09820 -0.01889 0.00036 0.00964 0.01000
0.20000 0.09801 -0.01987 0.09801 -0.01987 0.00039 0.00961 0.01000
0.21000 0.09780 -0.02085 0.09780 -0.02085 0.00043 0.00957 0.01000
0.22000 0.09759 -0.02182 0.09759 -0.02182 0.00048 0.00952 0.01000
0.23000 0.09737 -0.02280 0.09737 -0.02280 0.00052 0.00948 0.01000
0.24000 0.09713 -0.02377 0.09713 -0.02377 0.00057 0.00943 0.01000
0.25000 0.09689 -0.02474 0.09689 -0.02474 0.00061 0.00939 0.01000
0.26000 0.09664 -0.02571 0.09664 -0.02571 0.00066 0.00934 0.01000
0.27000 0.09638 -0.02667 0.09638 -0.02667 0.00071 0.00929 0.01000
0.28000 0.09611 -0.02764 0.09611 -0.02764 0.00076 0.00924 0.01000
0.29000 0.09582 -0.02860 0.09582 -0.02860 0.00082 0.00918 0.01000
0.30000 0.09553 -0.02955 0.09553 -0.02955 0.00087 0.00913 0.01000
0.31000 0.09523 -0.03051 0.09523 -0.03051 0.00093 0.00907 0.01000
0.32000 0.09492 -0.03146 0.09492 -0.03146 0.00099 0.00901 0.01000
0.33000 0.09460 -0.03240 0.09460 -0.03240 0.00105 0.00895 0.01000
0.34000 0.09428 -0.03335 0.09428 -0.03335 0.00111 0.00889 0.01000
0.35000 0.09394 -0.03429 0.09394 -0.03429 0.00118 0.00882 0.01000
0.36000 0.09359 -0.03523 0.09359 -0.03523 0.00124 0.00876 0.01000
0.37000 0.09323 -0.03616 0.09323 -0.03616 0.00131 0.00869 0.01000
0.38000 0.09287 -0.03709 0.09287 -0.03709 0.00138 0.00862 0.01000
0.39000 0.09249 -0.03802 0.09249 -0.03802 0.00145 0.00855 0.01000
0.40000 0.09211 -0.03894 0.09211 -0.03894 0.00152 0.00848 0.01000
0.41000 0.09171 -0.03986 0.09171 -0.03986 0.00159 0.00841 0.01000
0.42000 0.09131 -0.04078 0.09131 -0.04078 0.00166 0.00834 0.01000
0.43000 0.09090 -0.04169 0.09090 -0.04169 0.00174 0.00826 0.01000
0.44000 0.09048 -0.04259 0.09048 -0.04259 0.00181 0.00819 0.01000
0.45000 0.09004 -0.04350 0.09004 -0.04350 0.00189 0.00811 0.01000
0.46000 0.08961 -0.04439 0.08961 -0.04439 0.00197 0.00803 0.01000
0.47000 0.08916 -0.04529 0.08916 -0.04529 0.00205 0.00795 0.01000
0.48000 0.08870 -0.04618 0.08870 -0.04618 0.00213 0.00787 0.01000
0.49000 0.08823 -0.04706 0.08823 -0.04706 0.00221 0.00779 0.01000
0.50000 0.08776 -0.04794 0.08776 -0.04794 0.00230 0.00770 0.01000
0.51000 0.08727 -0.04882 0.08727 -0.04882 0.00238 0.00762 0.01000
0.52000 0.08678 -0.04969 0.08678 -0.04969 0.00247 0.00753 0.01000
0.53000 0.08628 -0.05055 0.08628 -0.05055 0.00256 0.00744 0.01000
0.54000 0.08577 -0.05141 0.08577 -0.05141 0.00264 0.00736 0.01000
