# t x1 v1 x2 v2 E_kin E_pot E_tot
0.00000 0.10000 0.00000 -0.10000 0.00000 0.00000 0.01100 0.01100
0.01000 0.09999 -0.00110 -0.09999 0.00110 0.00000 0.01100 0.01100
0.02000 0.09998 -0.00220 -0.09998 0.00220 0.00000 0.01100 0.01100
0.03000 0.09995 -0.00330 -0.09995 0.00330 0.00001 0.01099 0.01100
0.04000 0.09991 -0.00440 -0.09991 0.00440 0.00002 0.01098 0.01100
0.05000 0.09986 -0.00550 -0.09986 0.00550 0.00003 0.01097 0.01100
0.06000 0.09980 -0.00660 -0.09980 0.00660 0.00004 0.01096 0.01100
0.07000 0.09973 -0.00769 -0.09973 0.00769 0.00006 0.01094 0.01100
0.08000 0.09965 -0.00879 -0.09965 0.00879 0.00008 0.01092 0.01100
0.09000 0.09955 -0.00989 -0.09955 0.00989 0.00010 0.01090 0.01100
0.10000 0.09945 -0.01098 -0.09945 0.01098 0.00012 0.01088 0.01100
0.11000 0.09934 -0.01207 -0.09934 0.01207 0.00015 0.01085 0.01100
0.12000 0.09921 -0.01317 -0.09921 0.01317 0.00017 0.01083 0.01100
0.13000 0.09907 -0.01426 -0.09907 0.01426 0.00020 0.01080 0.01100
0.14000 0.09892 -0.01534 -0.09892 0.01534 0.00024 0.01076 0.01100
0.15000 0.09877 -0.01643 -0.09877 0.01643 0.00027 0.01073 0.01100
0.16000 0.09860 -0.01752 -0.09860 0.01752 0.00031 0.01069 0.01100
0.17000 0.09841 -0.01860 -0.09841 0.01860 0.00035 0.01065 0.01100
0.18000 0.09822 -0.01968 -0.09822 0.01968 0.00039 0.01061 0.01100
0.19000 0.09802 -0.02076 -0.09802 0.02076 0.00043 0.01057 0.01100
0.20000 0.09781 -0.02184 -0.09781 0.02184 0.00048 0.01052 0.01100
0.21000 0.09758 -0.02291 -0.09758 0.02291 0.00053 0.01047 0.01100
0.22000 0.09735 -0.02399 -0.09735 0.02399 0.00058 0.01042 0.01100
0.23000 0.09710 -0.02506 -0.09710 0.02506 0.00063 0.01037 0.01100
0.24000 0.09685 -0.02612 -0.09685 0.02612 0.00068 0.01032 0.01100
0.25000 0.09658 -0.02719 -0.09658 0.02719 0.00074 0.01026 0.01100
0.26000 0.09630 -0.02825 -0.09630 0.02825 0.00080 0.01020 0.01100
0.27000 0.09602 -0.02930 -0.09602 0.02930 0.00086 0.01014 0.01100
0.28000 0.09572 -0.03036 -0.09572 0.03036 0.00092 0.01008 0.01100
0.29000 0.09541 -0.03141 -0.09541 0.03141 0.00099 0.01001 0.01100
0.30000 0.09509 -0.03246 -0.09509 0.03246 0.00105 0.00995 0.01100
0.31000 0.09476 -0.03350 -0.09476 0.03350 0.00112 0.00988 0.01100
0.32000 0.09442 -0.03454 -0.09442 0.03454 0.00119 0.00981 0.01100
0.33000 0.09407 -0.03558 -0.09407 0.03558 0.00127 0.00973 0.01100
0.34000 0.09371 -0.03661 -0.09371 0.03661 0.00134 0.00966 0.01100
0.35000 0.09334 -0.03764 -0.09334 0.03764 0.00142 0.00958 0.01100
0.36000 0.09296 -0.03867 -0.09296 0.03867 0.00150 0.00950 0.01100
0.37000 0.09256 -0.03969 -0.09256 0.03969 0.00157 0.00943 0.01100
0.38000 0.09216 -0.04070 -0.09216 0.04070 0.00166 0.00934 0.01100
0.39000 0.09175 -0.04171 -0.09175 0.04171 0.00174 0.00926 0.01100
0.40000 0.09133 -0.04272 -0.09133 0.04272 0.00183 0.00917 0.01100
0.41000 0.09090 -0.04372 -0.09090 0.04372 0.00191 0.00909 0.01100
0.42000 0.09045 -0.04472 -0.09045 0.04472 0.00200 0.00900 0.01100
0.43000 0.09000 -0.04571 -0.09000 0.04571 0.00209 0.00891 0.01100
0.44000 0.08954 -0.04670 -0.08954 0.04670 0.00218 0.00882 0.01100
0.45000 0.08907 -0.04768 -0.08907 0.04768 0.00227 0.00873 0.01100
0.46000 0.08859 -0.04866 -0.08859 0.04866 0.00237 0.00863 0.01100
0.47000 0.08809 -0.04963 -0.08809 0.04963 0.00246 0.00854 0.01100
0.48000 0.08759 -0.05060 -0.08759 0.05060 0.00256 0.00844 0.01100
0.49000 0.08708 -0.05156 -0.08708 0.05156 0.00266 0.00834 0.01100
0.50000 0.08656 -0.05251 -0.08656 0.05251 0.00276 0.00824 0.01100
0.51000 0.08603 -0.05346 -0.08603 0.05346 0.00286 0.00814 0.01100
0.52000 0.08549 -0.05441 -0.08549 0.05441 0.00296 0.00804 0.01100
0.53000 0.08494 -0.05534 -0.08494 0.05534 0.00306 0.00794 0.01100
0.54000 0.08439 -0.05628 -0.08439 0.05628 0.00317 0.00783 0.01100
0.55000 0.08382 -0.05720 -0.08382 0.05720 0.00327 0.00773 0.01100
0.56000 0.08324 -0.05812 -0.08324 0.05812 0.00338 0.00762 0.01100
0.57000 0.08266 -0.05903 -0.08266 0.05903 0.00348 0.00752 0.01100
0.58000 0.08206 -0.05994 -0.08206 0.05994 0.00359 0.00741 0.01100
0.59000 0.08146 -0.06084 -0.08146 0.06084 0.00370 0.00730 0.01100
0.60000 0.08084 -0.06173 -0.08084 0.06173 0.00381 0.00719 0.01100
0.61000 0.08022 -0.06262 -0.08022 0.06262 0.00392 0.00708 0.01100
0.62000 0.07959 -0.06349 -0.07959 0.06349 0.00403 0.00697 0.01100
0.63000 0.07895 -0.06437 -0.07895 0.06437 0.00414 0.00686 0.01100
0.64000 0.07831 -0.06523 -0.07831 0.06523 0.00426 0.00674 0.01100
0.65000 0.07765 -0.06609 -0.07765 0.06609 0.00437 0.00663 0.01100
0.66000 0.07698 -0.06694 -0.07698 0.06694 0.00448 0.00652 0.01100
0.67000 0.07631 -0.06778 -0.07631 0.06778 0.00459 0.00641 0.01100
0.68000 0.07563 -0.06862 -0.07563 0.06862 0.00471 0.00629 0.01100
0.69000 0.07494 -0.06945 -0.07494 0.06945 0.00482 0.00618 0.01100
0.70000 0.07424 -0.07027 -0.07424 0.07027 0.00494 0.00606 0.01100
0.71000 0.07353 -0.07108 -0.07353 0.07108 0.00505 0.00595 0.01100
0.72000 0.07282 -0.07188 -0.07282 0.07188 0.00517 0.00583 0.01100
0.73000 0.07209 -0.07268 -0.07209 0.07268 0.00528 0.00572 0.01100
0.74000 0.07136 -0.07347 -0.07136 0.07347 0.00540 0.00560 0.01100
0.75000 0.07063 -0.07425 -0.07063 0.07425 0.00551 0.00549 0.01100
0.76000 0.06988 -0.07502 -0.06988 0.07502 0.00563 0.00537 0.01100
0.77000 0.06912 -0.07579 -0.06912 0.07579 0.00574 0.00526 0.01100
0.78000 0.06836 -0.07655 -0.06836 0.07655 0.00586 0.00514 0.01100
0.79000 0.06759 -0.07729 -0.06759 0.07729 0.00597 0.00503 0.01100
0.80000 0.06682 -0.07803 -0.06682 0.07803 0.00609 0.00491 0.01100
0.81000 0.06603 -0.07876 -0.06603 0.07876 0.00620 0.00480 0.01100
0.82000 0.06524 -0.07948 -0.06524 0.07948 0.00632 0.00468 0.01100
0.83000 0.06444 -0.08020 -0.06444 0.08020 0.00643 0.00457 0.01100
